Code_Postal;Province
1212;Bruxelles-Capitale
1213;Bruxelles-Capitale
1214;Bruxelles-Capitale
1215;Bruxelles-Capitale
1216;Bruxelles-Capitale
1217;Bruxelles-Capitale
1218;Bruxelles-Capitale
1219;Bruxelles-Capitale
1220;Bruxelles-Capitale
1221;Bruxelles-Capitale
1222;Bruxelles-Capitale
1223;Bruxelles-Capitale
1224;Bruxelles-Capitale
1225;Bruxelles-Capitale
1226;Bruxelles-Capitale
1227;Bruxelles-Capitale
1228;Bruxelles-Capitale
1229;Bruxelles-Capitale
1230;Bruxelles-Capitale
1231;Bruxelles-Capitale
1232;Bruxelles-Capitale
1233;Bruxelles-Capitale
1234;Bruxelles-Capitale
1235;Bruxelles-Capitale
1236;Bruxelles-Capitale
1237;Bruxelles-Capitale
1238;Bruxelles-Capitale
1239;Bruxelles-Capitale
1240;Bruxelles-Capitale
1241;Bruxelles-Capitale
1242;Bruxelles-Capitale
1243;Bruxelles-Capitale
1244;Bruxelles-Capitale
1245;Bruxelles-Capitale
1246;Bruxelles-Capitale
1247;Bruxelles-Capitale
1248;Bruxelles-Capitale
1249;Bruxelles-Capitale
1250;Bruxelles-Capitale
1251;Bruxelles-Capitale
1252;Bruxelles-Capitale
1253;Bruxelles-Capitale
1254;Bruxelles-Capitale
1255;Bruxelles-Capitale
1256;Bruxelles-Capitale
1257;Bruxelles-Capitale
1258;Bruxelles-Capitale
1259;Bruxelles-Capitale
1260;Bruxelles-Capitale
1261;Bruxelles-Capitale
1262;Bruxelles-Capitale
1263;Bruxelles-Capitale
1264;Bruxelles-Capitale
1265;Bruxelles-Capitale
1266;Bruxelles-Capitale
1267;Bruxelles-Capitale
1268;Bruxelles-Capitale
1269;Bruxelles-Capitale
1270;Bruxelles-Capitale
1271;Bruxelles-Capitale
1272;Bruxelles-Capitale
1273;Bruxelles-Capitale
1274;Bruxelles-Capitale
1275;Bruxelles-Capitale
1276;Bruxelles-Capitale
1277;Bruxelles-Capitale
1278;Bruxelles-Capitale
1279;Bruxelles-Capitale
1280;Bruxelles-Capitale
1281;Bruxelles-Capitale
1282;Bruxelles-Capitale
1283;Bruxelles-Capitale
1284;Bruxelles-Capitale
1285;Bruxelles-Capitale
1286;Bruxelles-Capitale
1287;Bruxelles-Capitale
1288;Bruxelles-Capitale
1289;Bruxelles-Capitale
1290;Bruxelles-Capitale
1291;Bruxelles-Capitale
1292;Bruxelles-Capitale
1293;Bruxelles-Capitale
1294;Bruxelles-Capitale
1295;Bruxelles-Capitale
1296;Bruxelles-Capitale
1297;Bruxelles-Capitale
1298;Bruxelles-Capitale
1299;Bruxelles-Capitale
1300;Brabant wallon
1301;Brabant wallon
1302;Brabant wallon
1303;Brabant wallon
1304;Brabant wallon
1305;Brabant wallon
1306;Brabant wallon
1307;Brabant wallon
1308;Brabant wallon
1309;Brabant wallon
1310;Brabant wallon
1311;Brabant wallon
1312;Brabant wallon
1313;Brabant wallon
1314;Brabant wallon
1315;Brabant wallon
1316;Brabant wallon
1317;Brabant wallon
1318;Brabant wallon
1319;Brabant wallon
1320;Brabant wallon
1321;Brabant wallon
1322;Brabant wallon
1323;Brabant wallon
1324;Brabant wallon
1325;Brabant wallon
1326;Brabant wallon
1327;Brabant wallon
1328;Brabant wallon
1329;Brabant wallon
1330;Brabant wallon
1331;Brabant wallon
1332;Brabant wallon
1333;Brabant wallon
1334;Brabant wallon
1335;Brabant wallon
1336;Brabant wallon
1337;Brabant wallon
1338;Brabant wallon
1339;Brabant wallon
1340;Brabant wallon
1341;Brabant wallon
1342;Brabant wallon
1343;Brabant wallon
1344;Brabant wallon
1345;Brabant wallon
1346;Brabant wallon
1347;Brabant wallon
1348;Brabant wallon
1349;Brabant wallon
1350;Brabant wallon
1351;Brabant wallon
1352;Brabant wallon
1353;Brabant wallon
1354;Brabant wallon
1355;Brabant wallon
1356;Brabant wallon
1357;Brabant wallon
1358;Brabant wallon
1359;Brabant wallon
1360;Brabant wallon
1361;Brabant wallon
1362;Brabant wallon
1363;Brabant wallon
1364;Brabant wallon
1365;Brabant wallon
1366;Brabant wallon
1367;Brabant wallon
1368;Brabant wallon
1369;Brabant wallon
1370;Brabant wallon
1371;Brabant wallon
1372;Brabant wallon
1373;Brabant wallon
1374;Brabant wallon
1375;Brabant wallon
1376;Brabant wallon
1377;Brabant wallon
1378;Brabant wallon
1379;Brabant wallon
1380;Brabant wallon
1381;Brabant wallon
1382;Brabant wallon
1383;Brabant wallon
1384;Brabant wallon
1385;Brabant wallon
1386;Brabant wallon
1387;Brabant wallon
1388;Brabant wallon
1389;Brabant wallon
1390;Brabant wallon
1391;Brabant wallon
1392;Brabant wallon
1393;Brabant wallon
1394;Brabant wallon
1395;Brabant wallon
1396;Brabant wallon
1397;Brabant wallon
1398;Brabant wallon
1399;Brabant wallon
1400;Brabant wallon
1401;Brabant wallon
1402;Brabant wallon
1403;Brabant wallon
1404;Brabant wallon
1405;Brabant wallon
1406;Brabant wallon
1407;Brabant wallon
1408;Brabant wallon
1409;Brabant wallon
1410;Brabant wallon
1411;Brabant wallon
1412;Brabant wallon
1413;Brabant wallon
1414;Brabant wallon
1415;Brabant wallon
1416;Brabant wallon
1417;Brabant wallon
1418;Brabant wallon
1419;Brabant wallon
1420;Brabant wallon
1421;Brabant wallon
1422;Brabant wallon
1423;Brabant wallon
1424;Brabant wallon
1425;Brabant wallon
1426;Brabant wallon
1427;Brabant wallon
1428;Brabant wallon
1429;Brabant wallon
1430;Brabant wallon
1431;Brabant wallon
1432;Brabant wallon
1433;Brabant wallon
1434;Brabant wallon
1435;Brabant wallon
1436;Brabant wallon
1437;Brabant wallon
1438;Brabant wallon
1439;Brabant wallon
1440;Brabant wallon
1441;Brabant wallon
1442;Brabant wallon
1443;Brabant wallon
1444;Brabant wallon
1445;Brabant wallon
1446;Brabant wallon
1447;Brabant wallon
1448;Brabant wallon
1449;Brabant wallon
1450;Brabant wallon
1451;Brabant wallon
1452;Brabant wallon
1453;Brabant wallon
1454;Brabant wallon
1455;Brabant wallon
1456;Brabant wallon
1457;Brabant wallon
1458;Brabant wallon
1459;Brabant wallon
1460;Brabant wallon
1461;Brabant wallon
1462;Brabant wallon
1463;Brabant wallon
1464;Brabant wallon
1465;Brabant wallon
1466;Brabant wallon
1467;Brabant wallon
1468;Brabant wallon
1469;Brabant wallon
1470;Brabant wallon
1471;Brabant wallon
1472;Brabant wallon
1473;Brabant wallon
1474;Brabant wallon
1475;Brabant wallon
1476;Brabant wallon
1477;Brabant wallon
1478;Brabant wallon
1479;Brabant wallon
1480;Brabant wallon
1481;Brabant wallon
1482;Brabant wallon
1483;Brabant wallon
1484;Brabant wallon
1485;Brabant wallon
1486;Brabant wallon
1487;Brabant wallon
1488;Brabant wallon
1489;Brabant wallon
1490;Brabant wallon
1491;Brabant wallon
1492;Brabant wallon
1493;Brabant wallon
1494;Brabant wallon
1495;Brabant wallon
1496;Brabant wallon
1497;Brabant wallon
1498;Brabant wallon
1499;Brabant wallon
1500;Brabant flamand
1501;Brabant flamand
1502;Brabant flamand
1503;Brabant flamand
1504;Brabant flamand
1505;Brabant flamand
1506;Brabant flamand
1507;Brabant flamand
1508;Brabant flamand
1509;Brabant flamand
1510;Brabant flamand
1511;Brabant flamand
1512;Brabant flamand
1513;Brabant flamand
1514;Brabant flamand
1515;Brabant flamand
1516;Brabant flamand
1517;Brabant flamand
1518;Brabant flamand
1519;Brabant flamand
1520;Brabant flamand
1521;Brabant flamand
1522;Brabant flamand
1523;Brabant flamand
1524;Brabant flamand
1525;Brabant flamand
1526;Brabant flamand
1527;Brabant flamand
1528;Brabant flamand
1529;Brabant flamand
1530;Brabant flamand
1531;Brabant flamand
1532;Brabant flamand
1533;Brabant flamand
1534;Brabant flamand
1535;Brabant flamand
1536;Brabant flamand
1537;Brabant flamand
1538;Brabant flamand
1539;Brabant flamand
1540;Brabant flamand
1541;Brabant flamand
1542;Brabant flamand
1543;Brabant flamand
1544;Brabant flamand
1545;Brabant flamand
1546;Brabant flamand
1547;Brabant flamand
1548;Brabant flamand
1549;Brabant flamand
1550;Brabant flamand
1551;Brabant flamand
1552;Brabant flamand
1553;Brabant flamand
1554;Brabant flamand
1555;Brabant flamand
1556;Brabant flamand
1557;Brabant flamand
1558;Brabant flamand
1559;Brabant flamand
1560;Brabant flamand
1561;Brabant flamand
1562;Brabant flamand
1563;Brabant flamand
1564;Brabant flamand
1565;Brabant flamand
1566;Brabant flamand
1567;Brabant flamand
1568;Brabant flamand
1569;Brabant flamand
1570;Brabant flamand
1571;Brabant flamand
1572;Brabant flamand
1573;Brabant flamand
1574;Brabant flamand
1575;Brabant flamand
1576;Brabant flamand
1577;Brabant flamand
1578;Brabant flamand
1579;Brabant flamand
1580;Brabant flamand
1581;Brabant flamand
1582;Brabant flamand
1583;Brabant flamand
1584;Brabant flamand
1585;Brabant flamand
1586;Brabant flamand
1587;Brabant flamand
1588;Brabant flamand
1589;Brabant flamand
1590;Brabant flamand
1591;Brabant flamand
1592;Brabant flamand
1593;Brabant flamand
1594;Brabant flamand
1595;Brabant flamand
1596;Brabant flamand
1597;Brabant flamand
1598;Brabant flamand
1599;Brabant flamand
1600;Brabant flamand
1601;Brabant flamand
1602;Brabant flamand
1603;Brabant flamand
1604;Brabant flamand
1605;Brabant flamand
1606;Brabant flamand
1607;Brabant flamand
1608;Brabant flamand
1609;Brabant flamand
1610;Brabant flamand
1611;Brabant flamand
1612;Brabant flamand
1613;Brabant flamand
1614;Brabant flamand
1615;Brabant flamand
1616;Brabant flamand
1617;Brabant flamand
1618;Brabant flamand
1619;Brabant flamand
1620;Brabant flamand
1621;Brabant flamand
1622;Brabant flamand
1623;Brabant flamand
1624;Brabant flamand
1625;Brabant flamand
1626;Brabant flamand
1627;Brabant flamand
1628;Brabant flamand
1629;Brabant flamand
1630;Brabant flamand
1631;Brabant flamand
1632;Brabant flamand
1633;Brabant flamand
1634;Brabant flamand
1635;Brabant flamand
1636;Brabant flamand
1637;Brabant flamand
1638;Brabant flamand
1639;Brabant flamand
1640;Brabant flamand
1641;Brabant flamand
1642;Brabant flamand
1643;Brabant flamand
1644;Brabant flamand
1645;Brabant flamand
1646;Brabant flamand
1647;Brabant flamand
1648;Brabant flamand
1649;Brabant flamand
1650;Brabant flamand
1651;Brabant flamand
1652;Brabant flamand
1653;Brabant flamand
1654;Brabant flamand
1655;Brabant flamand
1656;Brabant flamand
1657;Brabant flamand
1658;Brabant flamand
1659;Brabant flamand
1660;Brabant flamand
1661;Brabant flamand
1662;Brabant flamand
1663;Brabant flamand
1664;Brabant flamand
1665;Brabant flamand
1666;Brabant flamand
1667;Brabant flamand
1668;Brabant flamand
1669;Brabant flamand
1670;Brabant flamand
1671;Brabant flamand
1672;Brabant flamand
1673;Brabant flamand
1674;Brabant flamand
1675;Brabant flamand
1676;Brabant flamand
1677;Brabant flamand
1678;Brabant flamand
1679;Brabant flamand
1680;Brabant flamand
1681;Brabant flamand
1682;Brabant flamand
1683;Brabant flamand
1684;Brabant flamand
1685;Brabant flamand
1686;Brabant flamand
1687;Brabant flamand
1688;Brabant flamand
1689;Brabant flamand
1690;Brabant flamand
1691;Brabant flamand
1692;Brabant flamand
1693;Brabant flamand
1694;Brabant flamand
1695;Brabant flamand
1696;Brabant flamand
1697;Brabant flamand
1698;Brabant flamand
1699;Brabant flamand
1700;Brabant flamand
1701;Brabant flamand
1702;Brabant flamand
1703;Brabant flamand
1704;Brabant flamand
1705;Brabant flamand
1706;Brabant flamand
1707;Brabant flamand
1708;Brabant flamand
1709;Brabant flamand
1710;Brabant flamand
1711;Brabant flamand
1712;Brabant flamand
1713;Brabant flamand
1714;Brabant flamand
1715;Brabant flamand
1716;Brabant flamand
1717;Brabant flamand
1718;Brabant flamand
1719;Brabant flamand
1720;Brabant flamand
1721;Brabant flamand
1722;Brabant flamand
1723;Brabant flamand
1724;Brabant flamand
1725;Brabant flamand
1726;Brabant flamand
1727;Brabant flamand
1728;Brabant flamand
1729;Brabant flamand
1730;Brabant flamand
1731;Brabant flamand
1732;Brabant flamand
1733;Brabant flamand
1734;Brabant flamand
1735;Brabant flamand
1736;Brabant flamand
1737;Brabant flamand
1738;Brabant flamand
1739;Brabant flamand
1740;Brabant flamand
1741;Brabant flamand
1742;Brabant flamand
1743;Brabant flamand
1744;Brabant flamand
1745;Brabant flamand
1746;Brabant flamand
1747;Brabant flamand
1748;Brabant flamand
1749;Brabant flamand
1750;Brabant flamand
1751;Brabant flamand
1752;Brabant flamand
1753;Brabant flamand
1754;Brabant flamand
1755;Brabant flamand
1756;Brabant flamand
1757;Brabant flamand
1758;Brabant flamand
1759;Brabant flamand
1760;Brabant flamand
1761;Brabant flamand
1762;Brabant flamand
1763;Brabant flamand
1764;Brabant flamand
1765;Brabant flamand
1766;Brabant flamand
1767;Brabant flamand
1768;Brabant flamand
1769;Brabant flamand
1770;Brabant flamand
1771;Brabant flamand
1772;Brabant flamand
1773;Brabant flamand
1774;Brabant flamand
1775;Brabant flamand
1776;Brabant flamand
1777;Brabant flamand
1778;Brabant flamand
1779;Brabant flamand
1780;Brabant flamand
1781;Brabant flamand
1782;Brabant flamand
1783;Brabant flamand
1784;Brabant flamand
1785;Brabant flamand
1786;Brabant flamand
1787;Brabant flamand
1788;Brabant flamand
1789;Brabant flamand
1790;Brabant flamand
1791;Brabant flamand
1792;Brabant flamand
1793;Brabant flamand
1794;Brabant flamand
1795;Brabant flamand
1796;Brabant flamand
1797;Brabant flamand
1798;Brabant flamand
1799;Brabant flamand
1800;Brabant flamand
1801;Brabant flamand
